id,node_id,evidence_type,status,evidence_path,command,last_verified_at,summary,notes,tags
EVID-TEST-RUNTIME-PIPELINE-PROOF,TEST-RUNTIME-PIPELINE,test,verified,backend/tests/test_runtime_pipeline.py,python -m pytest -q tests/test_runtime_pipeline.py::test_runtime_pipeline_api_source tests/test_runtime_pipeline.py::test_runtime_pipeline_contract_smoke_pins_stage_and_action_boundary_invariants,2026-05-24,Runtime pipeline test node proof refreshed with API source and stage/action-boundary contract checks,This is test-suite evidence metadata and not a full runtime suite rerun.,"#evidence #test #runtime #verified"
EVID-TEST-SCHEMA-BASELINE-PROOF,TEST-SCHEMA-BASELINE,test,verified,backend/tests/test_schema_baseline.py,python -m pytest -q tests/test_schema_baseline.py::test_schema_baseline_tracks_structured_memory_payload_column,2026-05-24,Schema baseline test node proof refreshed with structured memory payload column check,This is test-suite evidence metadata and not a full schema suite rerun.,"#evidence #test #schema #verified"
EVID-API-TOOLS-OVERVIEW-PROOF,API-TOOLS-OVERVIEW,behavior,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_app_tools_overview_exposes_grouped_backend_truth tests/test_api_routes.py::test_app_tools_overview_marks_provider_backed_integrations_ready_when_configured tests/test_api_routes.py::test_app_patch_tools_preferences_updates_requested_enablement_state,2026-05-24,Tools overview API proof refreshed with grouped backend truth provider-backed readiness and preferences update contract tests,This is local API contract proof and does not claim live operator provider credentials or external provider smoke.,"#evidence #tools #api #verified"
EVID-DOC-PIPELINE-APP-CHAT-PROOF,DOC-PIPELINE-APP-CHAT,documentation,verified,docs/pipelines/app-chat.md,,2026-05-24,App chat pipeline documentation proof refreshed as the dedicated chain map for UI composer app chat API runtime memory delivery tests and docs,Documentation evidence proves source-of-truth coverage and does not replace runtime tests or production chat smoke.,"#evidence #docs #chat #pipeline #verified"
EVID-TEST-WEB-ROUTE-SMOKE-PROOF,TEST-WEB-ROUTE-SMOKE,test,verified,web/scripts/route-smoke.mjs,npm run smoke:routes,2026-05-24,Web route smoke test node proof refreshed with route_count=14 status=ok and no route marker failures,This is route harness evidence and does not replace screenshot parity or full responsive audit proof.,"#evidence #test #web #routes #verified"
EVID-AGENT-PERCEPTION-PROOF,AGENT-PERCEPTION,test,verified,backend/tests/test_perception_assessor.py,python -m pytest -q tests/test_perception_assessor.py tests/test_affective_contract.py,2026-05-24,Perception agent proof refreshed with focused perception assessor and runtime affective contract checks,This is local stage-contract proof and does not claim live AI provider or production runtime behavior.,"#evidence #agent #perception #runtime #verified"
EVID-AGENT-CONTEXT-PROOF,AGENT-CONTEXT,test,verified,backend/tests/test_context_agent.py,python -m pytest -q tests/test_context_agent.py,2026-05-24,Context agent proof refreshed with focused context construction tests,This is local stage-contract proof and does not claim production memory retrieval smoke.,"#evidence #agent #context #runtime #verified"
EVID-AGENT-PLANNING-PROOF,AGENT-PLANNING,test,verified,backend/tests/test_planning_agent.py,python -m pytest -q tests/test_planning_agent.py,2026-05-24,Planning agent proof refreshed with focused planning agent tests,This is local stage-contract proof and does not claim live connector execution or production runtime behavior.,"#evidence #agent #planning #runtime #verified"
EVID-AGENT-ROLE-PROOF,AGENT-ROLE,test,verified,backend/tests/test_role_agent.py,python -m pytest -q tests/test_role_agent.py,2026-05-24,Role agent proof refreshed with focused role selection and skill posture tests,This is local stage-contract proof and does not grant action authority or claim production runtime behavior.,"#evidence #agent #role #runtime #verified"
EVID-AGENT-MOTIVATION-PROOF,AGENT-MOTIVATION,test,verified,backend/tests/test_motivation_engine.py,python -m pytest -q tests/test_motivation_engine.py,2026-05-24,Motivation engine proof refreshed with focused motivation evaluation tests,This is local stage-contract proof and does not imply machine emotion or production runtime behavior.,"#evidence #agent #motivation #runtime #verified"
EVID-AGENT-AFFECTIVE-ASSESSMENT-PROOF,AGENT-AFFECTIVE-ASSESSMENT,test,verified,backend/tests/test_affective_assessor.py,python -m pytest -q tests/test_affective_assessor.py tests/test_affective_contract.py,2026-05-24,Affective assessment agent proof refreshed with focused affective assessor and contract tests,This is local stage-contract proof and does not imply machine emotion or live provider behavior.,"#evidence #agent #affective #runtime #verified"
EVID-API-APP-ME-PROOF,API-APP-ME,behavior,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_app_me_requires_authenticated_session tests/test_api_routes.py::test_app_patch_settings_updates_profile_preferences_and_display_name tests/test_api_routes.py::test_app_patch_settings_persists_proactive_opt_in_without_semantic_side_effects,2026-05-24,App me/settings API proof refreshed with authenticated-session guard settings profile/preference update and proactive opt-in persistence tests,This is local API contract proof and does not claim production account data smoke.,"#evidence #profile #api #settings #verified"
EVID-MODEL-AION-PROFILE-PROOF,MODEL-AION-PROFILE,test,verified,backend/tests/test_schema_baseline.py,python -m pytest -q tests/test_schema_baseline.py::test_alembic_head_includes_ui_language_on_profile,2026-05-24,AionProfile model proof refreshed with Alembic head profile language UI language and UTC offset column checks,This is local schema/model proof and does not claim production database migration smoke.,"#evidence #profile #model #schema #verified"
EVID-PAGE-SETTINGS-PROOF,PAGE-SETTINGS,behavior,verified,web/scripts/route-smoke.mjs,npm run smoke:routes,2026-05-24,Settings route proof refreshed with route smoke marker aion-settings-canvas in a 14-route successful run,This is route render proof and does not replace deeper interactive settings form or screenshot parity proof.,"#evidence #settings #page #web #verified"
EVID-API-DOCS,DOC-API-REFERENCE,documentation,verified,docs/api/index.md,,2026-05-11,API reference maps endpoint purpose auth schemas side effects tests and pipelines,Generated OpenAPI also exists.,"#evidence #docs #api"
EVID-DATA-DOCS,DOC-DATA-REFERENCE,documentation,verified,docs/data/index.md,,2026-05-11,Data model reference maps ORM tables migrations feature usage and tests,ERD and columns docs also exist.,"#evidence #docs #data"
EVID-GRAPH-SYSTEM-DOC,DOC-ARCH-GRAPH-SYSTEM,documentation,verified,docs/architecture/graph-system.md,,2026-05-24,Architecture graph system contract created,Foundation scope not full graph completion.,"#evidence #architecture_graph #docs"
EVID-GRAPH-GENERATOR,SCRIPT-GENERATE-ARCH-GRAPH,implementation,verified,backend/scripts/generate_architecture_graph.py,,2026-05-24,Generator script added to validate registries and generate Obsidian/graph artifacts,Dedicated pytest can be added after schema stabilizes.,"#evidence #architecture_graph #script"
EVID-RESEARCH-WORKFLOW,WORKFLOW-RESEARCH-EVIDENCE,documentation,verified,docs/architecture/graph-system.md,,2026-05-24,Research evidence workflow added with source registry claim registry 3-source rule and generated research rollup,Scientific support remains separate from implementation and behavior proof.,"#evidence #research_evidence #docs"
EVID-RESEARCH-CLAIM-EXPANSION,WORKFLOW-RESEARCH-EVIDENCE,documentation,verified,docs/architecture/registry/theory_claims.csv,,2026-05-24,Research evidence expanded for perception attention planning executive-control and memory consolidation claims,Claims remain scoped theory support and do not replace runtime tests.,"#evidence #research_evidence #neuroscience"
EVID-RESEARCH-AFFECT-MOTIVATION-ROLE,WORKFLOW-RESEARCH-EVIDENCE,documentation,verified,docs/architecture/registry/theory_claims.csv,,2026-05-24,Research evidence expanded for affective assessment motivation valuation and role-selection social posture claims,Claims remain scoped software analogies and do not imply machine emotion or social cognition.,"#evidence #research_evidence #neuroscience #affect #motivation #role"
EVID-GRAPH-GENERATOR-PYTEST,TEST-ARCH-GRAPH-GENERATOR,test,verified,backend/tests/test_architecture_graph_generator.py,python -m pytest -q tests/test_architecture_graph_generator.py,2026-05-24,Pytest coverage verifies research claim 3-source validation graph export research payloads current repository registry validation temp research rollup generation generated JSON freshness latest rollup evidence key generated artifact parity all generated node-page parity and fast versus heavy validation modes,Contract current-registry stale-output key-artifact full node-page parity and validation-mode guard for the architecture graph generator.,"#evidence #architecture_graph #test #research_evidence"
EVID-RESEARCH-UI-CHAT-COGNITIVE-BELT,UI-CHAT-COGNITIVE-BELT,research,verified,docs/architecture/registry/theory_claims.csv,,2026-05-24,Chat cognitive belt now has a reviewed 3-source UX theory claim tied to working memory visual working memory and attentional load,Research support is design rationale only and does not replace route smoke screenshot or usability proof.,"#evidence #research_evidence #ui #chat #neuroscience"
EVID-ARCH-GRAPH-WORKFLOW-CLOSURE,WORKFLOW-ARCH-GRAPH,behavior,verified,.codex/tasks/PRJ-1278-architecture-graph-workflow-closure.md,,2026-05-24,Architecture graph workflow mechanics are verified with generator validation generated artifact parity all-node parity fast and heavy gates and research evidence mapping,Full semantic coverage remains iterative feature promotion; workflow operation is verified.,"#evidence #architecture_graph #workflow #verified"
EVID-PROFILE-SETTINGS-CHAIN-REFRESH,FEAT-PROFILE-SETTINGS,behavior,verified,.codex/tasks/PRJ-1279-profile-settings-chain-refresh.md,,2026-05-24,Profile settings chain refreshed with focused backend API and preference tests web build and route smoke including the Settings route marker,Deeper interactive form UX and production account data smoke remain future evidence scopes.,"#evidence #profile #settings #chain #verified"
EVID-TOOLS-OVERVIEW-CHAIN-REFRESH,FEAT-TOOLS,behavior,verified,.codex/tasks/PRJ-1280-tools-overview-chain-refresh.md,,2026-05-24,Tools overview chain refreshed with focused backend tools API connector policy tests web build route smoke and Tools directory characterization covering full toggle telegram link loading empty and error states,Live external provider credential proof remains blocked/deferred and separate from local overview verification.,"#evidence #tools #chain #verified"
EVID-PERSONALITY-OVERVIEW-CHAIN-REFRESH,FEAT-LEARNED-STATE,behavior,verified,.codex/tasks/PRJ-1281-personality-overview-chain-refresh.md,,2026-05-24,Personality learned-state overview chain refreshed with focused backend personality API test memory repository tests web build and route smoke including the Personality route marker,Deeper screenshot parity and production account memory smoke remain separate evidence scopes.,"#evidence #personality #memory #chain #verified"
EVID-AUTH-API-CHAIN-REFRESH,API-APP-AUTH,behavior,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_app_auth_register_sets_session_cookie_and_returns_user_snapshot tests/test_api_routes.py::test_app_me_requires_authenticated_session tests/test_api_routes.py::test_app_login_logout_and_me_roundtrip,2026-05-24,App auth API chain refreshed with focused register session requirement login logout and current user roundtrip tests,This is local API contract proof and does not claim production auth smoke or security audit coverage.,"#evidence #auth #api #chain #verified"
EVID-DATA-MODEL-SCHEMA-CHAIN,FEAT-DATA-MODEL,behavior,verified,backend/tests/test_schema_baseline.py,python -m pytest -q tests/test_schema_baseline.py,2026-05-24,Data model schema chain refreshed with expected table inventory named unique constraints payload column and Alembic head schema parity tests,This is local schema contract proof and does not claim production database migration smoke.,"#evidence #data #schema #chain #verified"
EVID-AION-MEMORY-MODEL-PROOF,MODEL-AION-MEMORY,behavior,verified,backend/tests/test_memory_repository.py,python -m pytest -q tests/test_memory_repository.py::test_memory_repository_persists_structured_episode_payload tests/test_memory_repository.py::test_memory_repository_projects_recent_chat_transcript_in_chronological_order tests/test_schema_baseline.py::test_schema_baseline_tracks_structured_memory_payload_column,2026-05-24,AionMemory model proof refreshed with structured episodic payload persistence recent chat transcript projection and schema payload column tests,This is local model/repository contract proof and does not claim production memory smoke.,"#evidence #memory #model #verified"
EVID-EVENT-INGRESS-API-PROOF,API-EVENT-INGRESS,behavior,verified,backend/tests/test_api_routes.py,python -m pytest -q tests/test_api_routes.py::test_event_endpoint_returns_public_response_and_normalizes_event tests/test_api_routes.py::test_event_endpoint_enforces_api_boundary_for_source_and_payload_shape tests/test_api_routes.py::test_event_endpoint_contract_smoke_pins_public_shape_and_debug_gate tests/test_runtime_pipeline.py::test_runtime_pipeline_api_source,2026-05-24,Event ingress API proof refreshed with public response normalization API boundary debug gate contract and runtime pipeline API source tests,This is local API/runtime contract proof and does not claim production event ingress smoke or Telegram webhook proof.,"#evidence #event #api #runtime #verified"
EVID-ARCH-GRAPH-CI-POLICY,WORKFLOW-ARCH-GRAPH-CI,test,verified,.github/workflows/architecture-graph.yml,GitHub Actions fast graph gate plus manual heavy graph gate,2026-05-24,Architecture graph CI policy runs inventory and graph regeneration stale-artifact diff checks and fast graph pytest automatically for graph-relevant changes with a manual heavy all-node parity gate,Local validation proves workflow syntax-adjacent YAML presence and graph pytest assertions; hosted Actions execution remains first-run evidence after push.,"#evidence #architecture_graph #ci #test"
EVID-ARCH-PR-TEMPLATE-CHECKLIST,DOC-PR-TEMPLATE,documentation,verified,.github/pull_request_template.md,,2026-05-24,Pull request template now requires graph-relevant authors to report registry chain evidence research generated artifact and fast gate updates,Checklist is review guidance and does not replace generator pytest or hosted CI proof.,"#evidence #architecture_graph #pull_request #docs"
EVID-ARCH-GRAPH-QUERY-CLI,SCRIPT-QUERY-ARCH-GRAPH,behavior,verified,backend/scripts/query_architecture_graph.py,python scripts/query_architecture_graph.py --node WORKFLOW-ARCH-GRAPH --show-gaps,2026-05-24,Architecture graph query CLI can inspect node details incoming and outgoing impact chains evidence theory claims and missing-proof gaps from generated graph JSON,Focused pytest covers importable query behavior and CLI output; JSON export remains generated from canonical CSV.,"#evidence #architecture_graph #query #verified"
EVID-ARCH-GRAPH-GAP-AUDIT,SCRIPT-QUERY-ARCH-GRAPH,behavior,verified,backend/scripts/query_architecture_graph.py,python scripts/query_architecture_graph.py --gaps --limit 10,2026-05-24,Architecture graph query CLI can produce a curated missing-proof audit report for nodes with evidence test docs chain or research-support gaps,Audit output is a prioritization queue and does not itself fix reported gaps or turn auto-inventory rows into release defects.,"#evidence #architecture_graph #query #gap_audit #verified"
