id,source_id,relation_type,target_id,status,description,evidence,notes,tags
REL-RUNTIME-001,FEAT-FOREGROUND-RUNTIME,parent_of,SERVICE-RUNTIME-ORCHESTRATOR,verified,Foreground runtime feature owns orchestrator,docs/pipelines/foreground-runtime.md,,"#runtime"
REL-RUNTIME-002,SERVICE-RUNTIME-ORCHESTRATOR,consumes,EVENT-APP-CHAT-TURN,verified,Runtime consumes normalized chat turns,backend/app/core/events.py,,"#runtime #event"
REL-RUNTIME-003,SERVICE-RUNTIME-ORCHESTRATOR,owned_by,AGENT-PERCEPTION,verified,Perception stage participates in runtime pipeline,docs/architecture/16_agent_contracts.md,,"#agent #runtime"
REL-RUNTIME-004,SERVICE-RUNTIME-ORCHESTRATOR,owned_by,AGENT-CONTEXT,verified,Context stage participates in runtime pipeline,docs/architecture/16_agent_contracts.md,,"#agent #runtime"
REL-RUNTIME-005,SERVICE-RUNTIME-ORCHESTRATOR,owned_by,AGENT-PLANNING,verified,Planning stage participates in runtime pipeline,docs/architecture/16_agent_contracts.md,,"#agent #runtime"
REL-RUNTIME-006,SERVICE-RUNTIME-ORCHESTRATOR,owned_by,AGENT-AFFECTIVE-ASSESSMENT,verified,Affective assessment stage participates in runtime pipeline,docs/architecture/16_agent_contracts.md,,"#agent #runtime #affective"
REL-RUNTIME-007,SERVICE-RUNTIME-ORCHESTRATOR,owned_by,AGENT-MOTIVATION,verified,Motivation stage participates in runtime pipeline,docs/architecture/16_agent_contracts.md,,"#agent #runtime #motivation"
REL-RUNTIME-008,SERVICE-RUNTIME-ORCHESTRATOR,owned_by,AGENT-ROLE,verified,Role stage participates in runtime pipeline,docs/architecture/16_agent_contracts.md,,"#agent #runtime #role"
REL-EVENT-001,API-EVENT-INGRESS,emits,EVENT-APP-CHAT-TURN,verified,External event ingress normalizes events for runtime,backend/app/api/routes.py,General event node is currently shared seed.,"#event #api"
REL-EVENT-002,TEST-API-ROUTES,verifies,API-EVENT-INGRESS,verified,Focused backend API tests verify public event response API boundary normalization debug gate contract and runtime handoff,backend/tests/test_api_routes.py,Runtime pipeline API source test complements route contract proof.,"#event #api #test #verified"
REL-PROFILE-001,COMP-WEB-APP,calls,API-APP-ME,verified,Web shell reads and updates current user settings,web/src/lib/api.ts,,"#profile #api"
REL-PROFILE-002,API-APP-ME,writes,MODEL-AION-PROFILE,verified,Settings API persists profile data,backend/app/api/routes.py,,"#profile #database"
REL-PROFILE-003,TEST-PREFERENCES,verifies,MODEL-AION-PROFILE,verified,Preferences tests verify profile preference parsing/persistence,backend/tests/test_preferences.py,,"#test #profile"
REL-AUTH-001,COMP-WEB-APP,calls,API-APP-AUTH,verified,Web shell uses auth API for register login logout and current session boundary,web/src/lib/api.ts,,"#auth #api #web #verified"
REL-AUTH-002,API-APP-AUTH,writes,MODEL-AION-PROFILE,verified,Auth API creates and resolves the authenticated app user profile and session boundary,backend/app/api/routes.py,Auth user/session persistence lives in memory models and repository boundaries.,"#auth #api #database #verified"
REL-AUTH-003,TEST-API-ROUTES,verifies,API-APP-AUTH,verified,Focused backend API tests verify register session requirement login logout and me roundtrip contracts,backend/tests/test_api_routes.py,,"#auth #api #test #verified"
REL-AUTH-004,DOC-API-REFERENCE,documents,API-APP-AUTH,verified,API reference documents authenticated app endpoint posture,docs/api/index.md,,"#auth #api #docs #verified"
REL-TOOLS-001,PAGE-TOOLS,calls,API-TOOLS-OVERVIEW,verified,Tools route consumes tools overview and preferences endpoints,web/src/lib/api.ts,,"#tools #api"
REL-TOOLS-002,API-TOOLS-OVERVIEW,reads,MODEL-AION-PROFILE,verified,Tools preferences are profile-backed,backend/app/api/routes.py,,"#tools #database"
REL-TOOLS-003,TEST-CONNECTOR-POLICY,verifies,API-TOOLS-OVERVIEW,verified,Connector policy tests verify tools permission posture,backend/tests/test_connector_policy.py,Live provider activation is deferred.,"#test #tools"
REL-WEB-001,FEAT-WEB-SHELL,parent_of,COMP-WEB-APP,verified,Web shell feature owns React app shell,docs/frontend/route-component-map.md,,"#web"
REL-WEB-002,COMP-WEB-APP,renders,PAGE-DASHBOARD,verified,App shell renders Dashboard route,web/src/App.tsx,,"#web #dashboard"
REL-WEB-003,COMP-WEB-APP,renders,PAGE-PERSONALITY,verified,App shell renders Personality route,web/src/App.tsx,,"#web #personality"
REL-WEB-004,COMP-WEB-APP,renders,PAGE-TOOLS,verified,App shell renders Tools route,web/src/App.tsx,,"#web #tools"
REL-WEB-005,COMP-WEB-APP,renders,PAGE-SETTINGS,verified,App shell renders Settings route,web/src/App.tsx,,"#web #settings"
REL-WEB-006,TEST-WEB-ROUTE-SMOKE,verifies,FEAT-WEB-SHELL,verified,Route smoke validates current route markers and basic route state,npm run smoke:routes,,"#test #web"
REL-PERSONALITY-001,PAGE-PERSONALITY,calls,API-PERSONALITY-OVERVIEW,verified,Personality route consumes learned-state overview API,web/src/lib/api.ts,,"#personality #api"
REL-PERSONALITY-002,API-PERSONALITY-OVERVIEW,reads,MODEL-AION-MEMORY,verified,Personality overview reads recent activity and learned state,backend/app/api/routes.py,,"#personality #memory"
REL-DATA-001,FEAT-DATA-MODEL,parent_of,MODEL-AION-MEMORY,verified,Data model feature owns AionMemory seed node,docs/data/index.md,,"#data"
REL-DATA-002,FEAT-DATA-MODEL,parent_of,MODEL-AION-PROFILE,verified,Data model feature owns AionProfile seed node,docs/data/index.md,,"#data"
REL-DATA-003,TEST-SCHEMA-BASELINE,verifies,FEAT-DATA-MODEL,verified,Schema baseline tests verify data model contracts,backend/tests/test_schema_baseline.py,,"#test #data"
REL-DATA-004,DOC-DATA-REFERENCE,documents,FEAT-DATA-MODEL,verified,Data model reference documents ORM tables migrations repository ownership feature usage and schema change checklist,docs/data/index.md,,"#docs #data #verified"
REL-MEMORY-001,TEST-MEMORY-REPOSITORY,verifies,MODEL-AION-MEMORY,verified,Memory repository tests verify structured episodic payload persistence and recent chat transcript projection for AionMemory,backend/tests/test_memory_repository.py,,"#memory #model #test #verified"
REL-DOC-001,DOC-API-REFERENCE,documents,API-APP-CHAT-MESSAGE,verified,API reference documents chat route,docs/api/index.md,,"#docs #api"
REL-DOC-002,DOC-DATA-REFERENCE,documents,MODEL-AION-MEMORY,verified,Data reference documents AionMemory,docs/data/index.md,,"#docs #data"
REL-DOC-003,DOC-FRONTEND-ROUTE-MAP,documents,COMP-WEB-APP,verified,Frontend route map documents web shell,docs/frontend/route-component-map.md,,"#docs #frontend"
REL-GRAPH-001,WORKFLOW-ARCH-GRAPH,generated_from,docs/architecture/registry/nodes.csv,verified,Graph workflow is generated from registry CSV,docs/architecture/graph-system.md,External target is a file path rather than node id and is allowed for generated_from notes.,"#architecture_graph"
REL-GRAPH-002,SCRIPT-GENERATE-ARCH-GRAPH,depends_on,DOC-ARCH-GRAPH-SYSTEM,verified,Generator follows graph-system contract,docs/architecture/graph-system.md,,"#architecture_graph"
REL-GRAPH-003,TEST-ARCH-GRAPH-GENERATOR,verifies,SCRIPT-GENERATE-ARCH-GRAPH,verified,Generator pytest validates registry references research claims generated artifacts and node-page parity,backend/tests/test_architecture_graph_generator.py,Fast and heavy graph gates are available.,"#architecture_graph #test #verified"
REL-GRAPH-004,WORKFLOW-ARCH-GRAPH,parent_of,WORKFLOW-ARCH-GRAPH-CI,verified,Architecture graph workflow owns the CI validation policy,.github/workflows/architecture-graph.yml,,"#architecture_graph #ci #verified"
REL-GRAPH-005,WORKFLOW-ARCH-GRAPH-CI,depends_on,TEST-ARCH-GRAPH-GENERATOR,verified,CI policy runs the same graph generator pytest gates used locally,backend/tests/test_architecture_graph_generator.py,Fast gate is automatic and heavy gate is manual.,"#architecture_graph #ci #test"
REL-GRAPH-006,WORKFLOW-ARCH-GRAPH-CI,documents,DOC-ARCH-GRAPH-SYSTEM,verified,Graph-system docs describe the CI fast and heavy gate policy,docs/architecture/graph-system.md,,"#architecture_graph #ci #docs"
REL-GRAPH-007,DOC-PR-TEMPLATE,documents,WORKFLOW-ARCH-GRAPH,verified,PR template asks authors to disclose graph registry chain evidence research and graph gate updates,.github/pull_request_template.md,,"#architecture_graph #pull_request #docs"
REL-GRAPH-008,DOC-PR-TEMPLATE,depends_on,WORKFLOW-ARCH-GRAPH-CI,verified,PR checklist complements the automatic graph CI gate by making graph evidence visible in review,.github/workflows/architecture-graph.yml,Hosted CI first-run proof remains separate until push.,"#architecture_graph #pull_request #ci"
REL-GRAPH-009,WORKFLOW-ARCH-GRAPH,parent_of,SCRIPT-QUERY-ARCH-GRAPH,verified,Architecture graph workflow owns the local query utility for systemic analysis,backend/scripts/query_architecture_graph.py,,"#architecture_graph #query #verified"
REL-GRAPH-010,SCRIPT-QUERY-ARCH-GRAPH,depends_on,SCRIPT-GENERATE-ARCH-GRAPH,verified,Query CLI reads the generated graph JSON produced by the graph generator,docs/architecture/graphs/architecture-graph.json,CSV remains canonical; JSON is the read model.,"#architecture_graph #query"
REL-GRAPH-011,TEST-ARCH-GRAPH-QUERY,verifies,SCRIPT-QUERY-ARCH-GRAPH,verified,Focused query tests verify node lookup search impact chains evidence theory claims gap detection JSON output and suggestions,backend/tests/test_architecture_graph_query.py,,"#architecture_graph #query #test #verified"
REL-GRAPH-012,SCRIPT-QUERY-ARCH-GRAPH,documents,DOC-ARCH-GRAPH-SYSTEM,verified,Graph-system documentation describes the local query workflow,docs/architecture/graph-system.md,,"#architecture_graph #query #docs"
REL-RESEARCH-001,WORKFLOW-ARCH-GRAPH,parent_of,WORKFLOW-RESEARCH-EVIDENCE,verified,Architecture graph workflow owns the research evidence mapping extension,docs/architecture/graph-system.md,,"#architecture_graph #research_evidence"
REL-RESEARCH-002,WORKFLOW-RESEARCH-EVIDENCE,depends_on,DOC-ARCH-GRAPH-SYSTEM,verified,Research evidence rules are documented in the graph system contract,docs/architecture/graph-system.md,,"#research_evidence #docs"
REL-RESEARCH-003,TEST-ARCH-GRAPH-GENERATOR,verifies,WORKFLOW-RESEARCH-EVIDENCE,verified,Graph generator validates research source and theory claim registry integrity,backend/scripts/generate_architecture_graph.py,,"#research_evidence #test"
