"id","type","risk_level","file_path","target_status","target_verification_status","tests_related","docs_related","chain_id","evidence_id","notes"
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPLOGINREQUEST-F4C9CE91","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPMERESPONSE-B511655D","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPPERSONALITYOVERVIEWRESPONSE-F44719C9","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPREGISTERREQUEST-F56CCF92","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPRESETDATAREQUEST-F0071D50","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPRESETDATARESPONSE-5F646CFA","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPSETTINGSPATCHREQUEST-996738FC","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPSETTINGSRESPONSE-6C08196C","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPTELEGRAMLINKSTARTRESPONSE-207960A2","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPTOOLSOVERVIEWRESPONSE-29EEF1BD","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-APPTOOLSPREFERENCESPATCHREQUEST-C55E8DE0","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTQUEUERESPONSE-A2EB11BB","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTREPLYRESPONSE-85BCD107","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTRESPONSE-FCBCBDE4","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-EVENTRUNTIMERESPONSE-F529076B","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-PENDINGCONNECTORCONFIRMATIONRESPONSE-47AB9C28","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-API-SCHEMAS-PY-SETWEBHOOKREQUEST-53B65CD6","class","medium","backend/app/api/schemas.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-COMMUNICATION-BEHAVIOR-FEEDBACK-PY-BEHAVIORFEEDBACK-C36ADB5B","class","medium","backend/app/communication/behavior_feedback.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-COMMUNICATION-BOUNDARY-PY-COMMUNICATIONBOUNDARYSIGN-F6DFC563","class","medium","backend/app/communication/boundary.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-ACTION-PY-ACTIONEXECUTOR-E3B1BC52","class","medium","backend/app/core/action.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-ATTENTION-PY-ATTENTIONTURNCOORDINATOR-A9854DF6","class","medium","backend/app/core/attention.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-ATTENTION-PY-PENDINGTURN-001DF402","class","medium","backend/app/core/attention.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-ATTENTION-PY-TURNASSEMBLYDECISION-A8E808FB","class","medium","backend/app/core/attention.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-BEHAVIOR-HARNESS-PY-BEHAVIORSCENARIOCHECK-4CF4401D","class","medium","backend/app/core/behavior_harness.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-BEHAVIOR-HARNESS-PY-BEHAVIORSCENARIODEFINITION-436C54A1","class","medium","backend/app/core/behavior_harness.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-BEHAVIOR-HARNESS-PY-BEHAVIORSCENARIORESULT-86EB59BC","class","medium","backend/app/core/behavior_harness.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONFIG-PY-SETTINGS-93757D44","class","medium","backend/app/core/config.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONNECTOR-POLICY-PY-CONNECTOROPERATIONPOLICY-052106F2","class","medium","backend/app/core/connector_policy.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONDELIVERY-4A874E3E","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONDELIVERYCONNECTORINTENT-1F28DE07","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONDELIVERYEXECUTIONENVELOPE-E235DAE5","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONEXECUTIONOBSERVATION-87184A14","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONLOOPSUMMARYOUTPUT-78035871","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ACTIONRESULT-DEA4DA32","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-AFFECTIVEASSESSMENTOUTPUT-3BFB2C7C","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-BEHAVIORFEEDBACKOUTPUT-172AF22A","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CALENDARSCHEDULINGINTENTDOMAININT-5CF414D7","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CANCELPLANNEDWORKITEMDOMAININTENT-EDBFD342","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-COMPLETEPLANNEDWORKITEMDOMAININTE-C0E3279E","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONNECTEDDRIVEACCESSDOMAININTENT-2450A544","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONNECTORCAPABILITYDISCOVERYDOMAI-AFDC0CBE","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONNECTORPERMISSIONGATEOUTPUT-64069211","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-CONTEXTOUTPUT-28E4882A","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-EMBEDDINGRECORD-DB5CE31C","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-EVENT-F47C3A06","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-EVENTMETA-1132F847","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-EXPRESSIONOUTPUT-769F2F4A","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-EXTERNALTASKSYNCDOMAININTENT-765F0359","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-GOALMILESTONEHISTORYRECORDOUTPUT-72D51381","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-GOALMILESTONERECORDOUTPUT-62506D4F","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-GOALPROGRESSRECORDOUTPUT-536B3337","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-GOALRECORDOUTPUT-94F42C18","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-IDENTITYOUTPUT-B06E2A2A","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-KNOWLEDGESEARCHDOMAININTENT-684A3A8E","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-MAINTAINRELATIONDOMAININTENT-183783D8","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-MAINTAINTASKSTATUSDOMAININTENT-DB9ABF1A","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-MEMORYRECORD-7FBFFA06","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-MOTIVATIONOUTPUT-42815786","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-NOOPDOMAININTENT-2F988518","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PERCEPTIONOUTPUT-0C5D0F62","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PLANNEDWORKRECORDOUTPUT-6DC68EA0","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PLANOUTPUT-6DD246D8","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PROACTIVEDECISIONOUTPUT-3DEAAF94","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PROACTIVEDELIVERYGUARDOUTPUT-252A56C0","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PROMOTEINFERREDGOALDOMAININTENT-C8A1E60B","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PROMOTEINFERREDTASKDOMAININTENT-B758E18E","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-PROPOSALHANDOFFDECISIONOUTPUT-8A809716","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-RESCHEDULEPLANNEDWORKITEMDOMAININ-13C315D0","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ROLEOUTPUT-35D78C27","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-ROLESELECTIONEVIDENCEOUTPUT-8C68A828","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-RUNTIMERESULT-D4159109","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-RUNTIMESYSTEMDEBUGEVENTVIEW-BAD37C23","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-RUNTIMESYSTEMDEBUGMEMORYBUNDLE-5F5401CA","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-RUNTIMESYSTEMDEBUGOUTPUT-00A7A78A","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-RUNTIMESYSTEMDEBUGPLANVIEW-5FBC729C","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-SEMANTICRETRIEVALHIT-A886271D","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-SEMANTICRETRIEVALQUERY-0C3E99DA","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-SEMANTICRETRIEVALRESULT-DFC62BC3","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-SKILLCAPABILITYOUTPUT-9085D50F","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-SUBCONSCIOUSPROPOSALRECORD-A28A915C","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-TASKRECORDOUTPUT-E51539CD","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-TOOLGROUNDEDLEARNINGCANDIDATE-43C8264D","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPDATECOLLABORATIONPREFERENCEDOMA-CC597725","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPDATEPROACTIVEPREFERENCEDOMAININ-5F6013DC","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPDATEPROACTIVESTATEDOMAININTENT-63286D90","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPDATERESPONSESTYLEDOMAININTENT-EBA2FA4B","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPDATETASKSTATUSDOMAININTENT-9D415F32","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPSERTGOALDOMAININTENT-62728173","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPSERTPLANNEDWORKITEMDOMAININTENT-B181B3CB","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-UPSERTTASKDOMAININTENT-608BAFE5","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-CONTRACTS-PY-WEBBROWSERACCESSDOMAININTENT-D6029865","class","medium","backend/app/core/contracts.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-DATABASE-PY-DATABASE-D50029B5","class","medium","backend/app/core/database.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-DEBUG-COMPAT-PY-DEBUGQUERYCOMPATTELEMETRY-CEFFD9D7","class","medium","backend/app/core/debug_compat.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-ADAPTERS-PY-GRAPHSTAGEADAPTERS-611ED341","class","medium","backend/app/core/graph_adapters.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-ATTENTIONINBOXITEMSTATE-41659B9C","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-EXTERNALCONNECTORCAPABILITYSTAT-02DA2DDC","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-EXTERNALCONNECTORPERMISSIONGATE-99811B54","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-GRAPHMEMORYSTATE-C1FEF227","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-GRAPHRUNTIMESTATE-70232F04","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-PROPOSALHANDOFFSTATE-31196872","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-SUBCONSCIOUSPROPOSALSTATE-6FBF53A8","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-GRAPH-STATE-PY-TURNASSEMBLYSTATE-E5A98436","class","medium","backend/app/core/graph_state.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-LOGGING-PY-RUNTIMELOGCONTEXT-8129D5FC","class","medium","backend/app/core/logging.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-LOGGING-PY-RUNTIMESTAGELOGGER-1E60A2A4","class","medium","backend/app/core/logging.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-ROLE-SELECTION-POLICY-PY-ROLESELECTIONDECISION-A33C92C2","class","medium","backend/app/core/role_selection_policy.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
"PYCLASS-BACKEND-APP-CORE-RUNTIME-GRAPH-PY-FOREGROUNDLANGGRAPHRUNNER-B7DF935F","class","medium","backend/app/core/runtime_graph.py","verified","verified","","","","","Fill tests/docs/chain/evidence and then promote to curated registry."
